Primary archt/firm,Primary archt/firm[1][Name],Primary archt/firm[1][Role],Primary archt/firm[1][Type],Primary archt/firm[2][Name],Primary archt/firm[2][Role],Primary archt/firm[2][Type],Primary archt/firm[3][Name],Primary archt/firm[3][Role],Primary archt/firm[3][Type],Primary archt/firm[4][Name],Primary archt/firm[4][Role],Primary archt/firm[4][Type]
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Van Slyke and Woodruff,Van Slyke and Woodruff,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Woodruff,Woodruff,contributor,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats and Gottlieb","Sanguinet, Staats and Gottlieb",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Woodward,Woodward,contributor,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
"Wyatt C. Hedrick, Inc.","Wyatt C. Hedrick, Inc.",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats and Pate","Sanguinet, Staats and Pate",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Wyatt C. Hedrick | architect and engineer,Wyatt C. Hedrick,architect and engineer,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Hedrick, Stanley, and Morey","Hedrick, Stanley, and Morey",contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, Hedrick and Gottlieb","Sanguinet, Staats, Hedrick and Gottlieb",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick and Lindsley,Hedrick and Lindsley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick & Stanley,Hedrick & Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
F. W. and D. E. Steinman,F. W. and D. E. Steinman,contributor,coorporate,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
"Sanguinet, Staats, Hedrick and Gottlieb","Sanguinet, Staats, Hedrick and Gottlieb",contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, and Gottlieb | architectural firm","Sanguinet, Staats, and Gottlieb",architectural firm,coorporate,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, Hedrick and Gottlieb","Sanguinet, Staats, Hedrick and Gottlieb",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, and Gottlieb | architectural firm","Sanguinet, Staats, and Gottlieb",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats and Pate","Sanguinet, Staats and Pate",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Giesecke and Harris,Giesecke and Harris,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats and Gottlieb","Sanguinet, Staats and Gottlieb",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats and Overbeck","Sanguinet, Staats and Overbeck",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Hedrick, Stanley, and Morey","Hedrick, Stanley, and Morey",contributor,coorporate,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
"Sanguinet, Staats, Hedrick, and Pate","Sanguinet, Staats, Hedrick, and Pate",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Gottlieb | architectural firm","Sanguinet, Staats, and Gottlieb",architectural firm,coorporate,,,,,,,,,
"Sanguinet, Staats, Hedrick and Gottlieb","Sanguinet, Staats, Hedrick and Gottlieb",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats and Pate","Sanguinet, Staats and Pate",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick & Stanley,Hedrick & Stanley,contributor,coorporate,,,,,,,,,
Hedrick and Schoeppl,Hedrick and Schoeppl,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Withers,Hedrick and Withers,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, Hedrick and Gottlieb","Sanguinet, Staats, Hedrick and Gottlieb",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Hedrick, Stanley & Morey","Hedrick, Stanley & Morey",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Gottlieb | architectural firm","Sanguinet, Staats, and Gottlieb",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Wyatt C. Hedrick | architect and engineer,Wyatt C. Hedrick,architect and engineer,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Hedrick, Stanley, and Morey","Hedrick, Stanley, and Morey",contributor,coorporate,,,,,,,,,
Hedrick and Lovett,Hedrick and Lovett,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats and Gottlieb","Sanguinet, Staats and Gottlieb",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick and Lindsley,Hedrick and Lindsley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Lindsley,Hedrick and Lindsley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, Hedrick and Gottlieb","Sanguinet, Staats, Hedrick and Gottlieb",contributor,coorporate,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Lindsley,Hedrick and Lindsley,contributor,coorporate,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, Hedrick, and Pate","Sanguinet, Staats, Hedrick, and Pate",contributor,coorporate,,,,,,,,,
"Hedrick, Stanley and Lightfoot","Hedrick, Stanley and Lightfoot",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, Hedrick and Gottlieb","Sanguinet, Staats, Hedrick and Gottlieb",contributor,coorporate,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Wyatt C. Hedrick,Wyatt C. Hedrick,contributor,person,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Wyatt C. Hedrick | architect and engineer,Wyatt C. Hedrick,architect and engineer,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats and Barnes","Sanguinet, Staats and Barnes",contributor,coorporate,,,,,,,,,
Wyatt C. Hedrick | architect,Wyatt C. Hedrick,architect,person,,,,,,,,,
"Sanguinet, Staats, and Gottlieb | architectural firm","Sanguinet, Staats, and Gottlieb",architectural firm,coorporate,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Schoeppl,Hedrick and Schoeppl,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick and Lindsley,Hedrick and Lindsley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
"Sanguinet, Staats, Hedrick and Gottlieb","Sanguinet, Staats, Hedrick and Gottlieb",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, Hedrick and Gottlieb","Sanguinet, Staats, Hedrick and Gottlieb",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, and Gottlieb | architectural firm","Sanguinet, Staats, and Gottlieb",architectural firm,coorporate,,,,,,,,,
Hedrick and Gottlieb,Hedrick and Gottlieb,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats and Barnes","Sanguinet, Staats and Barnes",contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
"Sanguinet, Staats, and Gottlieb | architectural firm","Sanguinet, Staats, and Gottlieb",architectural firm,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
"Sanguinet, Staats, and Gottlieb | architectural firm","Sanguinet, Staats, and Gottlieb",architectural firm,coorporate,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Hedrick and Stanley,Hedrick and Stanley,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
Hedrick,Hedrick,contributor,person,,,,,,,,,
unidentified | contributor,<flag>,<flag>,<flag>,,,,,,,,,
Sanguinet and Staats,Sanguinet and Staats,contributor,coorporate,,,,,,,,,
"Sanguinet, Staats, and Hedrick | architectural firm","Sanguinet, Staats, and Hedrick",architectural firm,coorporate,,,,,,,,,
"Sanguinet, Staats, Hedrick and Gottlieb","Sanguinet, Staats, Hedrick and Gottlieb",contributor,coorporate,,,,,,,,,
